89,680
74,610
72,730
62,050
54,990
81,190
64,910
57,860
78,800
64,050
66,220
67,030
68,510
80,150
56,920
70,400
60,950
67,130
73,730
88,930
32,410
76,280
99,630
138,090
107,190
137,560
149,660
165,860
166,130
171,070
166,960
166,920
173,170
171,890
161,950
135,000
175,290
156,180
139,580
122,210
147,130
140,300
133,970
113,140
147,020
126,750
130,950
123,460
132,200
128,190
122,590
115,640
122,280
126,900
126,820
128,340
114,600
122,150
129,950
141,150
123,200
130,700
134,810
142,720
135,570
144,520
148,490
152,010
115,210
136,140
152,710
170,740
121,770
170,680
186,940
213,670
175,320
185,310
180,160
191,030
177,980
180,400
166,330
147,970
177,970
163,680
158,180
146,900
154,790
131,390
134,440
134,870
134,140
118,180
114,510
106,510
129,380
117,250
109,510
109,100
107,680
108,090
106,560
106,140
105,330
104,310
104,940
104,850
104,410
104,760
106,510
107,330
106,220
107,810
105,220
108,280
102,910
115,030
135,490
142,170
123,380
157,720
167,680
180,590
163,830
170,760
168,560
162,890
199,810
189,230
160,200
141,740
185,210
160,290
143,720
119,000
162,350
144,370
135,280
124,030
130,950
113,010
137,220
134,960
121,510
122,840
123,290
123,240
136,620
137,080
100,670
91,770
102,020
102,790
116,140
110,010
90,140
101,100
111,310
127,000
94,330
109,490
132,340
143,200
121,200
130,690
152,740
168,580
120,150
142,120
152,870
183,220
153,480
171,480
172,120
177,600
178,750
173,620
172,980
159,990
207,440
174,710
166,600
160,080
171,710
161,300
152,950
149,930
154,810
152,610
149,960
142,200
161,700
148,610
144,550
137,160
139,980
129,390
129,600
125,180
125,680
126,340
127,670
126,820
123,680
128,000
132,120
133,910
128,280
132,300
140,520
147,700
137,630
144,860
156,530
175,180
166,020
183,090
194,820
209,240
228,230
231,270
214,740
209,180
239,120
214,590
184,150
162,050
209,000
185,810
150,200
124,500
164,700
145,910
141,300
132,990
144,830
143,920
131,570
137,260
145,490
129,700
120,990
112,500
128,410
122,990
114,090
109,260
115,060
113,470
110,920
110,400
97,300
104,680
113,810
123,480
95,250
105,890
131,190
154,200
122,060
129,280
148,850
169,280
143,080
168,940
175,900
199,490
172,260
184,510
200,210
203,020
202,430
197,760
180,000
175,460
178,680
168,850
165,860
152,480
167,640
156,010
151,670
138,430
148,200
140,000
130,580
119,180
141,900
129,030
121,550
119,300
125,430
119,360
116,610
114,580
116,900
114,440
113,750
111,430
110,230
108,400
110,160
112,580
105,640
105,500
109,770
111,670
108,300
113,170
119,300
137,330
131,320
152,280
164,910
168,480
163,620
166,680
161,520
148,210
196,930
173,460
154,050
103,630
153,300
148,280
142,880
134,590
134,240
139,490
130,500
121,380
138,570
127,280
116,070
106,080
119,210
121,160
119,040
108,460
113,140
115,230
114,000
105,200
115,110
113,600
126,050
119,750
126,060
122,080
135,210
128,240
111,660
119,090
126,070
148,830
114,890
119,300
132,940
150,060
147,990
154,530
166,190
164,710
153,760
162,970
182,140
181,760
175,610
168,550
161,550
166,580
164,910
156,370
154,350
155,070
154,000
140,430
134,020
130,850
134,310
130,870
127,810
120,580
147,950
136,520
130,410
124,860
124,530
124,100
124,410
116,340
127,530
120,000
115,330
118,500
119,280
117,160
117,290
121,490
122,840
123,810
121,770
120,410
124,360
128,630
126,100
134,990
135,030
142,640
148,750
142,830
163,990
156,030
139,900
129,800
156,580
135,590
128,150
106,470
145,320
127,640
106,760
89,470
126,780
104,090
69,910
59,630
84,270
66,820
57,580
37,160
58,060
37,010
34,180
25,780
34,910
27,670
23,880
19,010
15,280
17,100
28,350
39,220
47,760
30,640
37,280
62,480
11,450
61,880
79,850
108,890
59,950
101,200
119,570
148,130
123,760
153,580
153,110
168,780
137,160
142,420
167,140
185,700
175,860
160,880
144,060
127,330
143,580
138,290
141,790
147,520
157,080
154,150
134,330
127,780
138,110
126,900
115,600
110,260
125,730
109,720
108,750
105,790
105,890
104,370
101,320
96,460
103,150
93,950
89,420
84,500
88,170
77,500
68,990
63,920
63,540
67,890
64,480
72,350
73,500
73,500
75,000
88,110
71,080
87,630
96,610
106,150
106,890
91,880
81,920
59,230
71,500
37,970
31,070
18,980
44,020
23,640
17,650
10,150
16,800
8,530
7,590
4,720
4,150
3,510
2,180
0,580
1,850
0,620
0,090
0,010
0,000
0,000
0,000
-0,010
-0,020
-0,010
0,000
0,000
0,000
0,000
0,010
0,140
0,360
3,090
7,520
38,040
15,010
53,730
102,100
120,200
78,590
119,660
137,450
179,250
141,310
149,870
171,960
174,000
190,470
147,100
136,360
118,810
144,140
120,450
118,840
107,490
119,920
104,090
88,950
62,960
112,990
95,460
55,110
22,050
105,680
87,450
58,690
4,880
77,750
73,650
56,290
13,600
69,370
31,020
9,600
10,400
10,980
22,360
58,280
64,570
12,440
43,220
13,120
19,770
19,150
35,460
51,730
73,530
107,650
64,370
16,850
13,770
20,920
5,710
0,110
-0,030
-0,010
-0,090
-0,600
-2,420
-2,370
-5,250
-6,820
-12,440
-14,600
-19,530
-28,370
-36,590
-34,200
-39,210
-31,480
-41,470
-31,540
-32,050
-36,950
-50,160
-51,640
-51,960
-58,330
-64,460
-64,400
-62,190
-69,330
-56,480
-65,070
-59,460
-51,620
-41,690
-34,880
-13,980
-10,680
-4,990
-4,980
-2,530
-1,390
39,990
3,590
62,180
83,520
86,720
73,240
78,100
85,180
114,760
92,570
94,290
91,820
100,550
99,310
105,660
92,870
91,320
102,010
99,630
93,330
87,780
110,080
89,000
70,990
55,470
87,590
55,520
46,070
50,060
59,570
48,820
43,630
42,040
44,520
41,890
53,510
57,210
54,310
57,260
40,600
44,180
57,710
59,020
46,200
60,420
71,760
76,910
79,780
77,150
81,750
98,350
96,830
79,780
77,820
59,870
39,830
21,790
29,450
16,060
16,350
3,390
7,700
0,530
-0,280
-0,010
-1,190
-7,630
-13,970
-28,750
-30,740
-38,050
